,10n1,10p1,10n2,10p2,min,max
0,0,0,0,0,"('10n1', '10p1', '10n2', '10p2')","('10n1', '10p1', '10n2', '10p2')"
3600,135,143,118,-66,"('10p2',)","('10p1',)"
7200,216,272,173,-16,"('10p2',)","('10p1',)"
10800,21,68,16,-6,"('10p2',)","('10p1',)"
14400,-50,-13,-176,0,"('10n2',)","('10p2',)"
18000,81,73,68,-3,"('10p2',)","('10n1',)"
21600,31,175,19,242,"('10n2',)","('10p2',)"
25200,19,119,9,27,"('10n2',)","('10p1',)"
28800,-53,-46,34,-16,"('10n1',)","('10n2',)"
32400,186,244,105,-40,"('10p2',)","('10p1',)"
36000,275,259,241,-33,"('10p2',)","('10n1',)"
39600,99,122,61,52,"('10p2',)","('10p1',)"
43200,35,53,32,16,"('10p2',)","('10p1',)"
46800,-272,-237,-150,-68,"('10n1',)","('10p2',)"
50400,290,314,290,348,"('10n1', '10n2')","('10p2',)"
54000,55,109,59,-58,"('10p2',)","('10p1',)"
57600,-582,-555,-402,-429,"('10n1',)","('10n2',)"
61200,41,-7,13,-22,"('10p2',)","('10n1',)"
64800,306,258,259,55,"('10p2',)","('10n1',)"
68400,195,186,154,63,"('10p2',)","('10n1',)"
72000,63,69,8,122,"('10n2',)","('10p2',)"
75600,-181,-117,-62,-64,"('10n1',)","('10n2',)"
79200,117,39,24,-53,"('10p2',)","('10n1',)"
82800,-185,-119,-261,-57,"('10n2',)","('10p2',)"
86400,125,137,68,-18,"('10p2',)","('10p1',)"
90000,-146,-109,-146,-12,"('10n1', '10n2')","('10p2',)"
93600,139,213,26,-55,"('10p2',)","('10p1',)"
97200,-169,-108,-162,-17,"('10n1',)","('10p2',)"
100800,162,-19,44,-5,"('10p1',)","('10n1',)"
104400,151,262,115,84,"('10p2',)","('10p1',)"
108000,78,131,36,265,"('10n2',)","('10p2',)"
111600,81,64,53,49,"('10p2',)","('10n1',)"
115200,54,86,15,-94,"('10p2',)","('10p1',)"
118800,96,148,58,44,"('10p2',)","('10p1',)"
122400,74,120,31,-24,"('10p2',)","('10p1',)"
126000,204,238,192,-25,"('10p2',)","('10p1',)"
129600,126,64,19,-29,"('10p2',)","('10n1',)"
133200,44,84,27,-100,"('10p2',)","('10p1',)"
136800,105,93,51,-177,"('10p2',)","('10n1',)"
140400,117,227,62,74,"('10n2',)","('10p1',)"
144000,-78,38,3,114,"('10n1',)","('10p2',)"
147600,78,106,12,74,"('10n2',)","('10p1',)"
151200,50,128,3,-41,"('10p2',)","('10p1',)"
154800,-286,-193,-325,-30,"('10n2',)","('10p2',)"
158400,49,90,9,17,"('10n2',)","('10p1',)"
162000,38,265,27,58,"('10n2',)","('10p1',)"
165600,-157,-257,-161,-32,"('10p1',)","('10p2',)"
169200,250,65,77,-16,"('10p2',)","('10n1',)"
